期数,日期,红球,蓝球,销售额,奖池金额,一等奖中奖人数,一等奖中奖金额,二等奖中奖人数,二等奖中奖金额,三等奖中奖人数,三等奖中奖金额,四等奖中奖人数,四等奖中奖金额,五等奖中奖人数,五等奖中奖金额,六等奖中奖人数,六等奖中奖金额,中奖情况
2023094,2023-08-15(二),"06,10,12,14,30,31",12,353863692,2190138271,13,6482678,62,388605,1054,3000,57805,200,1154774,10,10149675,5,"浙江1注,福建2注,山东8注,四川1注,陕西1注,共13注。"
2023093,2023-08-13(日),"10,21,24,25,27,32",07,382160878,2202132520,2,10000000,55,500947,838,3000,47779,200,1029761,10,10936581,5,"河北1注,陕西1注,共2注。"
2023092,2023-08-10(四),"03,12,24,25,32,33",13,357345052,2139476134,6,8563809,98,272740,1075,3000,63928,200,1253157,10,7928526,5,"浙江3注,山东1注,陕西2注,共6注。"
2023091,2023-08-08(二),"16,20,22,26,30,32",16,358375594,2110673283,8,7716754,69,393732,1010,3000,50480,200,1012117,10,8737338,5,"天津1注,浙江4注,广东1注,新疆1注,深圳1注,共8注。"
2023090,2023-08-06(日),"01,02,09,26,30,31",07,384947064,2090904684,4,9305795,97,221948,1268,3000,75044,200,1492374,10,13754324,5,"北京1注,湖北1注,广东2注,共4注。"
2023089,2023-08-03(四),"08,13,15,27,28,31",11,354904960,2063540939,18,5770016,122,142011,1722,3000,84839,200,1438561,10,13616505,5,"辽宁1注,浙江1注,安徽1注,江西1注,河南4注,广东3注,贵州5注,甘肃1注,新疆1注,共18注。"
2023088,2023-08-01(二),"01,14,18,26,31,33",05,350096092,2115425117,11,6088495,98,152722,1326,3000,70806,200,1270407,10,16167318,5,"河北1注,内蒙古5注,浙江1注,山东1注,湖南2注,四川1注,共11注。"
2023087,2023-07-30(日),"02,09,15,17,28,33",01,381153750,2137498144,9,7457024,158,174946,1754,3000,74057,200,1480314,10,8264542,5,"辽宁1注,江苏1注,山东1注,河南1注,湖南1注,四川2注,云南1注,陕西1注,共9注。"
2023086,2023-07-27(四),"08,09,10,22,26,32",12,357436118,2121686796,11,6685067,185,125241,3031,3000,83557,200,1571421,10,8189276,5,"浙江1注,福建1注,山东2注,广东2注,广西2注,四川1注,贵州1注,宁夏1注,共11注。"
2023085,2023-07-25(二),"11,18,23,24,31,33",13,356240472,2125713507,6,8156360,97,244048,1403,3000,71640,200,1352674,10,9560653,5,"辽宁1注,浙江1注,湖北1注,广西1注,四川1注,云南1注,共6注。"
2023084,2023-07-23(日),"09,13,14,17,19,27",03,386580634,2103633553,5,9140598,99,261401,1274,3000,73182,200,1429863,10,10630502,5,"黑龙江1注,浙江1注,安徽3注,共5注。"
2023083,2023-07-20(四),"07,10,12,16,17,30",12,360195880,2071700320,5,7947836,141,130666,1871,3000,91206,200,1641413,10,12506349,5,"黑龙江1注,江苏1注,湖北1注,广西1注,陕西1注,共5注。"
2023082,2023-07-18(二),"04,18,19,24,27,30",16,355121956,2056167572,13,6130757,144,127602,1654,3000,83863,200,1490226,10,12774735,5,"黑龙江1注,江苏1注,浙江1注,江西2注,山东2注,河南1注,广东1注,贵州1注,云南1注,陕西1注,甘肃1注,共13注。"
2023081,2023-07-16(日),"01,11,15,16,22,31",15,387109286,2080743000,6,8525084,53,498832,974,3000,59067,200,1137089,10,11564948,5,"河北1注,江苏3注,广东1注,深圳1注,共6注。"
