期号,时间,开奖号码,奖池奖金,销售额,一等奖人数,一等奖金额,二等奖人数,二等奖金额,三等奖人数,三等奖金额,四等奖人数,四等奖金额,五等奖人数,五等奖金额,六等奖人数,六等奖金额,七等奖人数,七等奖金额,八等奖人数,八等奖金额,九等奖人数,九等奖金额
23095,2023-08-19,08 19 28 32 34 03 07,"915,556,976.41","307,851,614",1,"10,000,000",75,"13,491,375",160,"1,600,000",727,"2,181,000","13,545","4,063,500","24,690","4,938,000","28,911","2,891,100","721,753","10,826,295","7,894,862","39,474,310"
23094,2023-08-16,12 19 22 28 32 08 12,"867,355,969.44","285,551,526",1,"10,000,000",102,"13,843,950",227,"2,270,000",744,"2,232,000","16,726","5,017,800","20,005","4,001,000","36,519","3,651,900","686,733","10,300,995","6,843,807","34,219,035"
23093,2023-08-14,11 14 17 19 21 01 05,"816,338,505.60","286,169,239",4,"31,912,376",81,"13,243,743",239,"2,390,000",653,"1,959,000","13,048","3,914,400","16,357","3,271,400","30,190","3,019,000","589,722","8,845,830","6,687,332","33,436,660"
23092,2023-08-12,03 16 21 26 32 03 12,"795,974,256.08","306,558,540",3,"30,000,000",126,"15,683,472",265,"2,650,000",656,"1,968,000","15,889","4,766,700","20,371","4,074,200","39,943","3,994,300","640,020","9,600,300","6,662,696","33,313,480"
23091,2023-08-09,06 16 18 28 29 07 11,"755,893,826.49","289,311,919",7,"45,173,520",164,"10,798,744",447,"4,470,000",946,"2,838,000","23,334","7,000,200","26,599","5,319,800","58,431","5,843,100","846,951","12,704,265","8,218,598","41,092,990"
23090,2023-08-07,08 11 12 19 35 11 12,"762,647,025.01","280,933,706",28,"167,815,368",199,"10,648,092",508,"5,080,000","2,059","6,177,000","22,294","6,688,200","33,380","6,676,000","50,615","5,061,500","733,454","11,001,810","6,678,993","33,394,965"
23089,2023-08-05,03 12 20 26 35 02 12,"904,845,173.55","306,682,199",4,"40,000,000",90,"14,757,750",289,"2,890,000",486,"1,458,000","12,958","3,887,400","16,948","3,389,600","40,344","4,034,400","567,365","8,510,475","6,438,225","32,191,125"
23088,2023-08-02,08 14 16 22 24 09 12,"871,592,817.09","287,409,545",7,"65,272,438",79,"13,935,363",137,"1,370,000",675,"2,025,000","12,397","3,719,100","19,830","3,966,000","28,030","2,803,000","643,423","9,651,345","7,198,620","35,993,100"
23087,2023-07-31,03 04 16 19 24 04 05,"895,827,940.12","286,062,808",2,"20,000,000",114,"11,622,756",203,"2,030,000",757,"2,271,000","18,078","5,423,400","21,542","4,308,400","32,085","3,208,500","739,459","11,091,885","7,278,269","36,391,345"
23086,2023-07-29,03 11 15 20 35 07 11,"864,979,868.30","311,653,031",6,"60,000,000",54,"16,955,298",201,"2,010,000",469,"1,407,000","11,418","3,425,400","17,042","3,408,400","26,040","2,604,000","547,789","8,216,835","6,118,323","30,591,615"
23085,2023-07-26,11 12 26 31 35 05 07,"862,163,414.85","293,963,316",0,0,72,"11,913,768",226,"2,260,000",792,"2,376,000","17,133","5,139,900","31,689","6,337,800","33,898","3,389,800","881,096","13,216,440","8,786,177","43,930,885"
23084,2023-07-24,03 05 08 24 32 07 08,"809,598,278.97","290,429,825",3,"24,563,148",111,"11,204,007",191,"1,910,000",762,"2,286,000","17,308","5,192,400","25,855","5,171,000","30,271","3,027,100","780,120","11,701,800","7,940,967","39,704,835"
23083,2023-07-22,13 15 21 25 32 09 10,"790,074,141","317,082,009",8,"70,121,672",71,"16,119,911",259,"2,590,000",480,"1,440,000","14,584","4,375,200","17,236","3,447,200","41,633","4,163,300","610,951","9,164,265","6,760,169","33,800,845"
23082,2023-07-19,02 08 09 15 20 03 09,"827,085,116.17","299,141,777",5,"47,639,325",167,"8,908,949",355,"3,550,000","1,326","3,978,000","24,521","7,356,300","42,626","8,525,200","42,951","4,295,100","1,111,252","16,668,780","9,936,570","49,682,850"
23081,2023-07-17,05 06 23 28 35 07 10,"841,378,608.77","293,496,142",13,"93,615,665",140,"11,154,640",168,"1,680,000","1,127","3,381,000","19,632","5,889,600","32,181","6,436,200","37,036","3,703,600","867,944","13,019,160","8,381,282","41,906,410"
23080,2023-07-15,01 02 09 16 30 01 11,"899,395,409.69","319,156,762",2,"20,000,000",130,"14,726,140",347,"3,470,000",699,"2,097,000","17,963","5,388,900","23,624","4,724,800","43,594","4,359,400","777,066","11,655,990","7,843,381","39,216,905"
23079,2023-07-12,06 08 26 29 34 05 08,"860,725,831.35","297,882,990",5,"50,000,000",72,"12,984,120",133,"1,330,000",943,"2,829,000","13,501","4,050,300","28,086","5,617,200","25,259","2,525,900","711,350","10,670,250","7,393,826","36,969,130"
23078,2023-07-10,02 03 06 26 27 07 08,"846,788,540.97","290,049,087",8,"65,122,408",124,"10,812,304",261,"2,610,000",904,"2,712,000","19,949","5,984,700","28,182","5,636,400","40,470","4,047,000","868,837","13,032,555","8,556,625","42,783,125"
23077,2023-07-08,05 16 18 26 35 03 06,"880,499,424.63","310,865,876",13,"92,385,215",108,"12,237,912",160,"1,600,000","1,051","3,153,000","17,020","5,106,000","35,476","7,095,200","31,892","3,189,200","906,057","13,590,855","8,719,328","43,596,640"
23076,2023-07-05,08 09 11 26 34 02 07,"948,501,277.04","299,341,312",3,"30,000,000",100,"13,270,400",151,"1,510,000",779,"2,337,000","15,008","4,502,400","28,296","5,659,200","31,472","3,147,200","771,926","11,578,890","7,856,945","39,284,725"
23075,2023-07-03,07 17 20 23 32 05 11,"917,148,171.29","291,887,672",9,"65,895,606",172,"9,975,484",388,"3,880,000","1,659","4,977,000","30,829","9,248,700","39,051","7,810,200","59,995","5,999,500","1,014,657","15,219,855","8,590,833","42,954,165"
23074,2023-07-01,03 13 22 29 34 02 09,"959,326,220.29","317,553,672",4,"40,000,000",85,"15,587,300",225,"2,250,000",864,"2,592,000","17,633","5,289,900","25,394","5,078,800","39,424","3,942,400","773,577","11,603,655","7,864,543","39,322,715"
23073,2023-06-28,15 25 28 30 35 08 10,"940,619,193.45","300,986,764",4,"40,000,000",151,"11,651,462",360,"3,600,000",950,"2,850,000","24,701","7,410,300","22,929","4,585,800","53,691","5,369,100","808,449","12,126,735","7,899,930","39,499,650"
23072,2023-06-26,05 06 09 11 14 02 04,"932,426,488.55","303,438,691",3,"30,000,000",123,"12,722,013",318,"3,180,000",798,"2,394,000","18,445","5,533,500","22,209","4,441,800","43,427","4,342,700","766,368","11,495,520","7,756,674","38,783,370"
23071,2023-06-24,02 11 12 32 34 10 12,"901,185,515.05","317,016,133",4,"40,000,000",194,"14,046,182",439,"4,390,000",798,"2,394,000","25,888","7,766,400","24,293","4,858,600","55,865","5,586,500","829,227","12,438,405","8,020,634","40,103,170"
23070,2023-06-21,10 26 29 32 33 03 11,"896,500,867.52","299,252,381",7,"70,000,000",101,"13,560,058",222,"2,220,000",714,"2,142,000","19,500","5,850,000","24,886","4,977,200","42,284","4,228,400","829,761","12,446,415","8,087,869","40,439,345"
23069,2023-06-19,08 20 21 25 32 05 07,"908,523,228.30","295,437,282",2,"20,000,000",134,"13,035,118",295,"2,950,000",939,"2,817,000","21,949","6,584,700","25,024","5,004,800","45,677","4,567,700","867,561","13,013,415","8,205,041","41,025,205"
23068,2023-06-17,21 22 24 27 31 07 08,"874,858,098.72","323,126,932",7,"70,000,000",76,"14,717,400",162,"1,620,000",845,"2,535,000","14,076","4,222,800","29,309","5,861,800","26,365","2,636,500","796,319","11,944,785","8,579,349","42,896,745"
23067,2023-06-14,02 28 30 33 35 02 10,"877,298,736.71","306,580,086",2,"20,000,000",173,"11,740,645",127,"1,270,000",609,"1,827,000","12,484","3,745,200","23,691","4,738,200","26,427","2,642,700","698,918","10,483,770","7,865,662","39,328,310"
23066,2023-06-12,06 11 13 30 32 01 03,"846,071,268.24","311,912,224",3,"30,000,000",93,"17,072,103",371,"3,710,000",452,"1,356,000","13,312","3,993,600","14,244","2,848,800","43,828","4,382,800","533,409","8,001,135","6,050,055","30,250,275"
23065,2023-06-10,08 14 16 21 25 03 12,"807,401,652.03","326,869,150",1,"10,000,000",223,"17,076,894",491,"4,910,000",773,"2,319,000","17,744","5,323,200","19,131","3,826,200","58,829","5,882,900","691,495","10,372,425","7,587,044","37,935,220"
23064,2023-06-07,02 06 09 31 32 03 07,"747,516,040","306,244,331",8,"50,508,808",201,"9,362,580",238,"2,380,000","1,235","3,705,000","23,779","7,133,700","36,601","7,320,200","40,501","4,050,100","1,032,380","15,485,700","9,386,428","46,932,140"
23063,2023-06-05,04 18 29 31 34 06 09,"758,945,368.33","302,254,758",6,"40,547,118",91,"11,792,781",186,"1,860,000","1,198","3,594,000","17,479","5,243,700","38,251","7,650,200","33,378","3,337,800","932,048","13,980,720","9,127,999","45,639,995"
23062,2023-06-03,06 08 22 24 30 01 08,"758,202,286.81","326,064,748",6,"42,165,066",146,"14,265,076",284,"2,840,000",638,"1,914,000","17,183","5,154,900","21,895","4,379,000","41,421","4,142,100","726,551","10,898,265","7,435,591","37,177,955"
23061,2023-05-31,07 11 21 30 32 05 07,"750,108,293.03","309,303,838",1,"10,000,000",76,"14,721,352",292,"2,920,000",732,"2,196,000","14,282","4,284,600","20,305","4,061,000","30,466","3,046,600","632,970","9,494,550","6,797,530","33,987,650"
23060,2023-05-29,02 07 19 24 30 09 12,"688,684,878.15","310,894,364",20,"116,073,200",307,"7,033,677",530,"5,300,000","2,232","6,696,000","37,662","11,298,600","51,050","10,210,000","56,407","5,640,700","1,275,057","19,125,855","10,069,593","50,347,965"
23059,2023-05-27,09 13 23 25 28 04 07,"812,443,525.01","358,763,124",9,"65,314,782",198,"11,046,024",396,"3,960,000","1,664","4,992,000","27,291","8,187,300","49,200","9,840,000","52,387","5,238,700","1,196,006","17,940,090","10,500,525","52,502,625"
23058,2023-05-24,19 22 29 32 35 05 08,"872,966,224.60","363,828,515",8,"74,633,656",93,"15,249,675",182,"1,820,000",975,"2,925,000","16,853","5,055,900","28,301","5,660,200","34,811","3,481,100","842,822","12,642,330","8,558,092","42,790,460"
23057,2023-05-22,01 05 06 19 24 05 11,"903,873,949.54","344,889,264",8,"80,000,000",92,"15,233,084",241,"2,410,000",736,"2,208,000","17,114","5,134,200","21,406","4,281,200","48,523","4,852,300","706,725","10,600,875","7,430,486","37,152,430"
23056,2023-05-20,13 22 24 33 34 01 02,"920,035,696.74","398,657,811",3,"30,000,000",60,"20,819,220",166,"1,660,000",646,"1,938,000","11,499","3,449,700","19,109","3,821,800","30,610","3,061,000","578,861","8,682,915","6,534,442","32,672,210"
23055,2023-05-17,06 08 12 13 15 01 06,"856,791,468.88","350,342,112",5,"50,000,000",138,"14,253,468",265,"2,650,000","1,172","3,516,000","19,221","5,766,300","33,611","6,722,200","39,362","3,936,200","913,935","13,709,025","8,557,173","42,785,865"
23054,2023-05-15,19 25 30 31 34 07 09,"874,577,473.87","350,143,702",6,"60,000,000",197,"16,319,874",163,"1,630,000",800,"2,400,000","15,203","4,560,900","29,992","5,998,400","29,493","2,949,300","862,671","12,940,065","9,164,578","45,822,890"
23053,2023-05-13,01 03 11 14 20 02 11,"892,267,763.87","372,295,609",3,"30,000,000",90,"16,110,270",304,"3,040,000",876,"2,628,000","17,914","5,374,200","25,463","5,092,600","44,874","4,487,400","815,700","12,235,500","8,367,890","41,839,450"
23052,2023-05-10,02 08 11 30 33 05 08,"854,240,159.11","355,627,104",5,"50,000,000",82,"12,888,104",214,"2,140,000","1,143","3,429,000","14,720","4,416,000","40,433","8,086,600","30,482","3,048,200","949,925","14,248,875","10,117,200","50,586,000"
